go_id,go_name,k,n_targets,K,N_universe,odds_ratio,p_value,fdr_bh
GO:2000145,regulation of cell motility,6,11,1235,34737,32.70659072416599,7.906745610241656e-07,6.954535386212553e-06
GO:0040012,regulation of locomotion,6,11,1284,34737,31.40657276995305,9.92854563835056e-07,8.639947161883785e-06
GO:0051239,regulation of multicellular organismal process,8,11,3386,34737,24.746792974146437,1.017943000777933e-06,8.765024996172097e-06
GO:0043549,regulation of kinase activity,4,11,265,34737,75.45703338806787,1.0476313017805638e-06,8.92669171725522e-06
GO:0071300,cellular response to retinoic acid,3,11,66,34737,206.32738095238096,1.0691863329064009e-06,9.016437322860164e-06
GO:0031399,regulation of protein modification process,5,11,672,34737,42.55247376311844,1.1199092295094486e-06,9.347813772844173e-06
GO:0120035,regulation of plasma membrane bounded cell projection organization,5,11,682,34737,41.911619891678974,1.2042580106901658e-06,9.950333866106622e-06
GO:0043405,regulation of MAP kinase activity,3,11,69,34737,196.9318181818182,1.2235555511349311e-06,1.0008684408283737e-05
GO:0031344,regulation of cell projection organization,5,11,701,34737,40.74473180076628,1.378339507502618e-06,1.116318531818952e-05
GO:1901888,regulation of cell junction assembly,4,11,285,34737,70.04575495678698,1.399243443105418e-06,1.1221383690786586e-05
GO:0072073,kidney epithelium development,3,11,74,34737,183.03697183098592,1.5125249004363478e-06,1.2012090956863423e-05
GO:0035239,tube morphogenesis,4,11,303,34737,65.79455327281414,1.7846993434379002e-06,1.4037346758963484e-05
GO:0051338,regulation of transferase activity,4,11,307,34737,64.91843470061292,1.880093308913298e-06,1.4646822158962643e-05
GO:0070372,regulation of ERK1 and ERK2 cascade,4,11,315,34737,63.23380799265043,2.0821984925319437e-06,1.6068286480105e-05
GO:0009888,tissue development,5,11,767,34737,37.14348206474191,2.143330236014837e-06,1.637515226035585e-05
GO:0001525,angiogenesis,4,11,318,34737,62.62420382165605,2.1620005429320686e-06,1.637515226035585e-05
GO:0002009,morphogenesis of an epithelium,4,11,336,34737,59.197934595524956,2.6895464572490054e-06,2.018393579843749e-05
GO:0048661,positive regulation of smooth muscle cell proliferation,3,11,94,34737,142.72664835164835,3.116823116754975e-06,2.3177830086414266e-05
GO:0051247,positive regulation of protein metabolic process,5,11,831,34737,34.20096852300242,3.17312697710146e-06,2.338394475017112e-05
GO:2000026,regulation of multicellular organismal development,6,11,1575,34737,25.35908221797323,3.2659263759606438e-06,2.385292656728399e-05
GO:0033993,response to lipid,5,11,854,34737,33.25186493914409,3.626183741894283e-06,2.6249719476721448e-05
GO:0048646,anatomical structure formation involved in morphogenesis,5,11,856,34737,33.171758715236976,3.6678700287193306e-06,2.6318576170986072e-05
GO:0030155,regulation of cell adhesion,5,11,869,34737,32.66010802469136,3.948142590176218e-06,2.808330990229692e-05
GO:0051345,positive regulation of hydrolase activity,3,11,104,34737,128.55816831683168,4.2270089617733124e-06,2.9807701126987673e-05
GO:0010604,positive regulation of macromolecule metabolic process,8,11,4080,34737,20.074656188605108,4.271814965293218e-06,2.9866193518032926e-05
GO:0032526,response to retinoic acid,3,11,106,34737,126.05461165048544,4.476521836823656e-06,3.077138539934244e-05
GO:0030324,lung development,3,11,106,34737,126.05461165048544,4.476521836823656e-06,3.077138539934244e-05
GO:1901701,cellular response to oxygen-containing compound,5,11,926,34737,30.587224031849438,5.3830372285675365e-06,3.669437044140204e-05
GO:1901890,positive regulation of cell junction assembly,3,11,114,34737,116.94256756756756,5.572018766765073e-06,3.766868885300686e-05
GO:0051716,cellular response to stimulus,7,11,2835,34737,19.738861386138613,5.884624854565508e-06,3.94134864107956e-05
GO:0051128,regulation of cellular component organization,7,11,2838,34737,19.716089720946663,5.926477785486379e-06,3.94134864107956e-05
GO:0071900,regulation of protein serine/threonine kinase activity,3,11,122,34737,109.05567226890756,6.831824388981166e-06,4.506800282408543e-05
GO:0009893,positive regulation of metabolic process,8,11,4368,34737,18.572477064220184,7.195477868149279e-06,4.708720716916888e-05
GO:0051384,response to glucocorticoid,3,11,139,34737,95.37683823529412,1.01052574348126e-05,6.560397287045005e-05
GO:0031175,neuron projection development,4,11,508,34737,38.80045351473923,1.3749478092609333e-05,8.855963054924752e-05
GO:0045785,positive regulation of cell adhesion,4,11,522,34737,37.73634859349145,1.5298982147470667e-05,9.777005778617973e-05
GO:0031960,response to corticosteroid,3,11,163,34737,81.0140625,1.628012469546887e-05,0.00010323365892165531
GO:0051336,regulation of hydrolase activity,3,11,165,34737,80.00925925925925,1.6884736924118004e-05,0.00010543293743456891
GO:0048660,regulation of smooth muscle cell proliferation,3,11,165,34737,80.00925925925925,1.6884736924118004e-05,0.00010543293743456891
GO:0048469,cell maturation,3,11,170,34737,77.60254491017965,1.846069167272274e-05,0.00011440034688096365
GO:0048639,positive regulation of developmental growth,3,11,177,34737,74.46551724137932,2.0825758657408415e-05,0.00012808624497563973
GO:0030097,hemopoiesis,3,11,180,34737,73.19703389830508,2.189761693190529e-05,0.00013268333815035944
GO:0043524,negative regulation of neuron apoptotic process,3,11,180,34737,73.19703389830508,2.189761693190529e-05,0.00013268333815035944
GO:0045165,cell fate commitment,3,11,181,34737,72.78370786516854,2.2262823716058095e-05,0.0001339043367627612
GO:0051963,regulation of synapse assembly,3,11,183,34737,71.97083333333333,2.3005243160579854e-05,0.00013735977303178337
GO:0048666,neuron development,3,11,187,34737,70.39809782608695,2.4538687066375952e-05,0.00014545395666880817
GO:0060396,growth hormone receptor signaling pathway,2,11,24,34737,350.54545454545456,2.5065657646750403e-05,0.0001455772638261197
GO:0014812,muscle cell migration,2,11,24,34737,350.54545454545456,2.5065657646750403e-05,0.0001455772638261197
GO:0032101,regulation of response to external stimulus,5,11,1272,34737,22.00670876085241,2.509339144191061e-05,0.0001455772638261197
GO:0043068,positive regulation of programmed cell death,4,11,603,34737,32.55616503696637,2.6927509173636713e-05,0.00015474159284181385
GO:0050927,positive regulation of positive chemotaxis,2,11,25,34737,335.29468599033817,2.7240573801003904e-05,0.00015474159284181385
GO:0034112,positive regulation of homotypic cell-cell adhesion,2,11,25,34737,335.29468599033817,2.7240573801003904e-05,0.00015474159284181385
GO:0050926,regulation of positive chemotaxis,2,11,26,34737,321.31481481481484,2.9505524061392345e-05,0.00016645185298082025
GO:0045766,positive regulation of angiogenesis,3,11,200,34737,65.7277918781726,2.998443231120531e-05,0.0001679949700723695
GO:0071695,anatomical structure maturation,3,11,203,34737,64.73625,3.134479557099498e-05,0.00017259508324325219
GO:0032103,positive regulation of response to external stimulus,4,11,629,34737,31.178057142857142,3.175914851743801e-05,0.00017259508324325219
GO:1904018,positive regulation of vasculature development,3,11,204,34737,64.41231343283582,3.180712040220834e-05,0.00017259508324325219
GO:0042490,mechanoreceptor differentiation,2,11,27,34737,308.4533333333333,3.186046157668836e-05,0.00017259508324325219
GO:2001026,regulation of endothelial cell chemotaxis,2,11,27,34737,308.4533333333333,3.186046157668836e-05,0.00017259508324325219
GO:0038179,neurotrophin signaling pathway,2,11,28,34737,296.5811965811966,3.4305339511880806e-05,0.0001846168928994638
GO:0050679,positive regulation of epithelial cell proliferation,3,11,211,34737,62.23197115384615,3.516967848297064e-05,0.00018803135293509794
GO:0009611,response to wounding,3,11,219,34737,59.91319444444444,3.928972911600938e-05,0.00020827192667913162
GO:0022612,gland morphogenesis,2,11,30,34737,275.3809523809524,3.9464729382965043e-05,0.00020827192667913162
GO:0048545,response to steroid hormone,3,11,222,34737,59.08732876712329,4.0912967513686616e-05,0.0002145308168345875
GO:0010810,regulation of cell-substrate adhesion,3,11,226,34737,58.0207399103139,4.314506843104822e-05,0.00022479405080635316
GO:0021700,developmental maturation,3,11,227,34737,57.760044642857146,4.3715332147642565e-05,0.00022632368162513682
GO:0040008,regulation of growth,4,11,687,34737,28.481907550721605,4.480605497827472e-05,0.00023051165391338815
GO:0035295,tube development,3,11,232,34737,56.49072052401747,4.6641087011828545e-05,0.0002384525573479734
GO:1901700,response to oxygen-containing compound,5,11,1462,34737,19.028254404026537,4.898762872610674e-05,0.0002488936664469274
GO:0060045,positive regulation of cardiac muscle cell proliferation,2,11,34,34737,240.93055555555554,5.086073522237748e-05,0.0002536834232433218
GO:0044344,cellular response to fibroblast growth factor stimulus,2,11,34,34737,240.93055555555554,5.086073522237748e-05,0.0002536834232433218
GO:0030901,midbrain development,2,11,34,34737,240.93055555555554,5.086073522237748e-05,0.0002536834232433218
GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,2,11,35,34737,233.6228956228956,5.393388607777759e-05,0.0002673813261310428
GO:0072175,epithelial tube formation,2,11,36,34737,226.7450980392157,5.7096603256244874e-05,0.0002813555509855922
GO:0046677,response to antibiotic,2,11,37,34737,220.26031746031745,6.03488400685178e-05,0.0002956009052457938
GO:0043523,regulation of neuron apoptotic process,3,11,261,34737,50.098837209302324,6.617175469125735e-05,0.0003221934246276697
GO:0042509,regulation of tyrosine phosphorylation of STAT protein,2,11,40,34737,202.85380116959064,7.064220165811865e-05,0.0003386128960981742
GO:0055023,positive regulation of cardiac muscle tissue growth,2,11,40,34737,202.85380116959064,7.064220165811865e-05,0.0003386128960981742
GO:0045927,positive regulation of growth,3,11,267,34737,48.95170454545455,7.078582546795573e-05,0.0003386128960981742
GO:0048008,platelet-derived growth factor receptor signaling pathway,2,11,41,34737,197.64672364672364,7.42520504363861e-05,0.00035108772980903946
GO:1990090,cellular response to nerve growth factor stimulus,2,11,41,34737,197.64672364672364,7.42520504363861e-05,0.00035108772980903946
GO:0008285,negative regulation of cell population proliferation,4,11,803,34737,24.263901305202932,8.216641347435238e-05,0.00038627658748287497
GO:0071774,response to fibroblast growth factor,2,11,44,34737,183.51322751322752,8.561712899817238e-05,0.00039567690124579097
GO:0060421,positive regulation of heart growth,2,11,44,34737,183.51322751322752,8.561712899817238e-05,0.00039567690124579097
GO:1990089,response to nerve growth factor,2,11,44,34737,183.51322751322752,8.561712899817238e-05,0.00039567690124579097
GO:0034110,regulation of homotypic cell-cell adhesion,2,11,46,34737,175.16161616161617,9.363965917407741e-05,0.0004303215797999737
GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,2,11,47,34737,171.2641975308642,9.778452797084509e-05,0.000446858904358387
GO:0051246,regulation of protein metabolic process,5,11,1705,34737,16.18921568627451,0.00010202292457523962,0.0004636375127919223
GO:0048286,lung alveolus development,2,11,49,34737,163.96690307328606,0.00010634124042399658,0.00048059190423662546
GO:0060043,regulation of cardiac muscle cell proliferation,2,11,50,34737,160.5462962962963,0.00011075299110554625,0.0004977799270567958
GO:0048013,ephrin receptor signaling pathway,2,11,51,34737,157.26530612244898,0.00011525360946738576,0.0005123774594800084
GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,2,11,51,34737,157.26530612244898,0.00011525360946738576,0.0005123774594800084
GO:0045595,regulation of cell differentiation,5,11,1774,34737,15.525249670246843,0.00012316044906390524,0.0005445689045095918
GO:0008543,fibroblast growth factor receptor signaling pathway,2,11,53,34737,151.08932461873638,0.00012452126345952524,0.0005476257715585572
GO:0060688,regulation of morphogenesis of a branching structure,2,11,54,34737,148.17948717948718,0.0001292882062438853,0.0005655494797192416
GO:0048638,regulation of developmental growth,3,11,329,34737,39.57055214723926,0.00013129787739258824,0.0005712854452507297
GO:0050807,regulation of synapse organization,3,11,330,34737,39.44839449541284,0.0001324794713325179,0.0005733767595238076
GO:0046622,positive regulation of organ growth,2,11,56,34737,142.68312757201647,0.00013908809139508334,0.0005988108355851482
GO:0120036,plasma membrane bounded cell projection organization,4,11,935,34737,20.742673009053245,0.00014796398118979134,0.0006336886733677975
GO:0065008,regulation of biological quality,6,11,3078,34737,12.36484375,0.0001503046966556926,0.0006403606347101904
GO:0001944,vasculature development,2,11,59,34737,135.1617933723197,0.0001544522225785195,0.0006546213371462639
GO:0045597,positive regulation of cell differentiation,4,11,947,34737,20.471443720648388,0.00015541428282555124,0.0006553035224293861
GO:0061564,axon development,2,11,60,34737,132.82758620689654,0.0001597505618741419,0.0006701331262207594
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,2,11,61,34737,130.57250470809794,0.00016513730510307753,0.0006856970333721696
GO:0071385,cellular response to glucocorticoid stimulus,2,11,61,34737,130.57250470809794,0.00016513730510307753,0.0006856970333721696
GO:0007498,mesoderm development,2,11,63,34737,126.28415300546447,0.00017617581823195258,0.0007278374712815011
GO:0030182,neuron differentiation,3,11,366,34737,35.49896694214876,0.000179774734949354,0.0007389735336109125
GO:0045787,positive regulation of cell cycle,3,11,369,34737,35.204918032786885,0.00018414823393818097,0.0007531662768071602
GO:0042472,inner ear morphogenesis,2,11,65,34737,122.26807760141094,0.00018756739186788748,0.0007595550819204552
GO:0060485,mesenchyme development,2,11,65,34737,122.26807760141094,0.00018756739186788748,0.0007595550819204552
GO:0045765,regulation of angiogenesis,3,11,383,34737,33.89407894736842,0.00020547528259800017,0.0008279742914540105
GO:0055021,regulation of cardiac muscle tissue growth,2,11,69,34737,114.95522388059702,0.0002114082415562014,0.0008453362711430036
GO:0030855,epithelial cell differentiation,3,11,387,34737,33.537109375,0.000211850776997941,0.0008453362711430036
GO:1901342,regulation of vasculature development,3,11,393,34737,33.01538461538462,0.00022165334702412448,0.0008801574653676399
GO:0051965,positive regulation of synapse assembly,2,11,72,34737,110.01904761904763,0.00023021291383277623,0.0009097302585275893
GO:0050678,regulation of epithelial cell proliferation,3,11,402,34737,32.26221804511278,0.00023690327483994936,0.0009316676866301855
GO:0071384,cellular response to corticosteroid stimulus,2,11,74,34737,106.95679012345678,0.00024318868668144077,0.0009500262427913987
GO:2001233,regulation of apoptotic signaling pathway,3,11,406,34737,31.938275434243177,0.0002438942677092833,0.0009500262427913987
GO:0060420,regulation of heart growth,2,11,75,34737,105.48858447488584,0.0002498082322237518,0.0009684508718437393
GO:0044087,regulation of cellular component biogenesis,4,11,1121,34737,17.193503005499423,0.0002968516887705487,0.0011453994406335323
GO:0001837,epithelial to mesenchymal transition,2,11,82,34737,96.2388888888889,0.00029859839065898055,0.0011467299697607797
GO:0043536,positive regulation of blood vessel endothelial cell migration,2,11,83,34737,95.0480109739369,0.000305918338410696,0.001169351405700698
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,2,11,89,34737,88.47765006385696,0.0003516706298825051,0.00133798407090181
GO:1904705,regulation of vascular associated smooth muscle cell proliferation,2,11,91,34737,86.48439450686642,0.00036761842795426627,0.001392184602160138
GO:0140888,interferon-mediated signaling pathway,2,11,92,34737,85.52098765432099,0.0003757228146581253,0.0014163191815223341
GO:0071383,cellular response to steroid hormone stimulus,2,11,93,34737,84.57875457875458,0.0003839141320816275,0.0014405585323062902
GO:1900182,positive regulation of protein localization to nucleus,2,11,94,34737,83.65700483091787,0.0003921923344504289,0.001464901048312561
GO:0071345,cellular response to cytokine stimulus,3,11,500,34737,25.826710261569417,0.0004487975770077115,0.0016687109908741272
GO:0031214,biomineral tissue development,2,11,101,34737,77.72615039281706,0.00045256868779896615,0.001675118491491196
GO:0048514,blood vessel morphogenesis,2,11,103,34737,76.18261826182618,0.00047059843342143814,0.0017340068402645786
GO:0046620,regulation of organ growth,2,11,104,34737,75.43355119825708,0.00047974297115594116,0.0017563516661664095
GO:0019221,cytokine-mediated signaling pathway,3,11,512,34737,25.208988212180746,0.00048095693547833216,0.0017563516661664095
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,2,11,106,34737,73.97863247863248,0.000498291148474508,0.0018111292359762274
GO:0044089,positive regulation of cellular component biogenesis,3,11,519,34737,24.861918604651162,0.0005003853390349968,0.0018111292359762274
GO:0048762,mesenchymal cell differentiation,2,11,109,34737,71.89823468328142,0.0005267604855616173,0.0018898687596026445
