reaction,toxicity_theme,count
Tongue Blistering,Other / Unmapped,1
Aphthous Ulcer,Other / Unmapped,1
Respiratory Tract Congestion,Other / Unmapped,1
Product Physical Issue,Medication Error,1
Sinus Disorder,Other / Unmapped,1
Blood Potassium Abnormal,Other / Unmapped,1
Blood Phosphorus Abnormal,Other / Unmapped,1
Hyperthermia,Other / Unmapped,1
Pyelonephritis,Other / Unmapped,1
Lung Neoplasm Malignant,Other / Unmapped,1
Sensation Of Foreign Body,Other / Unmapped,1
Cytokeratin 19 Increased,Other / Unmapped,1
Cholecystitis,Other / Unmapped,1
Gallbladder Enlargement,Other / Unmapped,1
Bacterial Disease Carrier,Other / Unmapped,1
Endotracheal Intubation,Other / Unmapped,1
Pneumocystis Test Positive,Other / Unmapped,1
Defaecation Disorder,Other / Unmapped,1
Capillary Fragility,Other / Unmapped,1
Pulmonary Artery Aneurysm,Other / Unmapped,1
Arthroscopy,Other / Unmapped,1
Nephrolithiasis,Other / Unmapped,1
Ligament Rupture,Other / Unmapped,1
Blood Pressure Fluctuation,Other / Unmapped,1
Mechanical Ileus,Other / Unmapped,1
Device Occlusion,Other / Unmapped,1
Localised Oedema,Other / Unmapped,1
Gastroenteritis,Other / Unmapped,1
Angina Pectoris,Other / Unmapped,1
Urinary Retention,Other / Unmapped,1
Cognitive Disorder,Other / Unmapped,1
Haematotoxicity,Other / Unmapped,1
Medication Error,Medication Error,1
Non-Small Cell Lung Cancer,Other / Unmapped,1
Shoulder Fracture,Other / Unmapped,1
Lymph Node Tuberculosis,Other / Unmapped,1
Eyelid Oedema,Other / Unmapped,1
Motor Dysfunction,Other / Unmapped,1
Haemorrhage Subcutaneous,Other / Unmapped,1
Visual Acuity Reduced,Other / Unmapped,1
Organising Pneumonia,Immune System,1
Subcapsular Hepatic Haematoma,Other / Unmapped,1
Intra-Abdominal Haemorrhage,Other / Unmapped,1
Extrapulmonary Tuberculosis,Other / Unmapped,1
Flank Pain,Other / Unmapped,1
Hyperbilirubinaemia,Other / Unmapped,1
Sinus Bradycardia,Other / Unmapped,1
Therapy Cessation,Other / Unmapped,1
Gingival Pain,Other / Unmapped,1
Chronic Gastritis,Other / Unmapped,1
Peripheral Sensory Neuropathy,Neurological,1
Food Allergy,Other / Unmapped,1
Acute Kidney Injury,Other / Unmapped,1
Escherichia Sepsis,Immune System,1
Blood Bilirubin Increased,Other / Unmapped,1
