uniprot_id,go_id,aspect,evidence_code,assigned_by
P05177,GO:0006805,P,IDA,BHF-UCL
P05177,GO:0006805,P,TAS,Reactome
P05177,GO:0008202,P,IEA,UniProt
P05177,GO:0008203,P,IEA,UniProt
P05177,GO:0008210,P,IDA,UniProt
P05177,GO:0009403,P,IDA,BHF-UCL
P05177,GO:0009820,P,IDA,BHF-UCL
P05177,GO:0016098,P,IDA,BHF-UCL
P05177,GO:0019369,P,IEA,UniProt
P05177,GO:0019373,P,TAS,Reactome
P05177,GO:0032259,P,TAS,Reactome
P05177,GO:0032787,P,IDA,BHF-UCL
P05177,GO:0042178,P,IMP,BHF-UCL
P05177,GO:0042178,P,IDA,BHF-UCL
P05177,GO:0042445,P,IEA,UniProt
P05177,GO:0042572,P,IEA,UniProt
P05177,GO:0042572,P,IDA,UniProt
P05177,GO:0042759,P,TAS,Reactome
P05177,GO:0046222,P,TAS,Reactome
P05177,GO:0070989,P,IDA,BHF-UCL
P05177,GO:0097267,P,TAS,Reactome
P05177,GO:0120254,P,IEA,UniProt
P07949,GO:0000165,P,IEA,Ensembl
P07949,GO:0001657,P,IEA,Ensembl
P07949,GO:0001755,P,IEA,Ensembl
P07949,GO:0001838,P,IEA,Ensembl
P07949,GO:0007169,P,IEA,Ensembl
P07949,GO:0007399,P,IEA,Ensembl
P07949,GO:0010628,P,IEA,Ensembl
P07949,GO:0030182,P,IEA,Ensembl
P07949,GO:0035799,P,IEA,Ensembl
P07949,GO:0042551,P,IEA,Ensembl
P07949,GO:0045793,P,IEA,Ensembl
P07949,GO:0048484,P,IEA,Ensembl
P07949,GO:0050770,P,IEA,Ensembl
P07949,GO:0007155,P,IEA,UniProt
P07949,GO:0007156,P,IEA,InterPro
P07949,GO:0007158,P,IEA,Ensembl
P07949,GO:0007158,P,IMP,UniProt
P07949,GO:0007165,P,TAS,PINC
P07949,GO:0007399,P,IEA,UniProt
P07949,GO:0007411,P,TAS,Reactome
P07949,GO:0007497,P,TAS,PINC
P07949,GO:0010976,P,IMP,BHF-UCL
P07949,GO:0030155,P,IDA,UniProt
P07949,GO:0030335,P,IDA,UniProt
P07949,GO:0033619,P,IDA,UniProt
P07949,GO:0033630,P,IDA,UniProt
P07949,GO:0035860,P,IDA,UniProt
P07949,GO:0043410,P,IDA,UniProt
P07949,GO:0043410,P,IMP,GO_Central
P07949,GO:0045893,P,IEA,Ensembl
P07949,GO:0045893,P,ISS,UniProt
P07949,GO:0048265,P,ISS,UniProt
P07949,GO:0048265,P,IEA,Ensembl
P07949,GO:0051897,P,IMP,UniProt
P07949,GO:0061146,P,ISS,UniProt
P07949,GO:0061146,P,IEA,Ensembl
P07949,GO:0071300,P,IMP,BHF-UCL
P07949,GO:0072300,P,IEA,Ensembl
P07949,GO:0072300,P,ISS,UniProt
P07949,GO:0097021,P,ISS,UniProt
P07949,GO:0160144,P,IDA,UniProt
P07949,GO:2001241,P,IMP,UniProt
P07949,GO:2001241,P,TAS,UniProt
P08183,GO:0000086,P,IDA,DFLAT
P08183,GO:0006805,P,TAS,Reactome
P08183,GO:0006869,P,IEA,UniProt
P08183,GO:0009410,P,TAS,PINC
P08183,GO:0045332,P,IEA,UniProt
P08183,GO:0045332,P,IDA,BHF-UCL
P08183,GO:0045332,P,IDA,UOS_MCB
P08183,GO:0046865,P,ISS,ARUK-UCL
P08183,GO:0055085,P,IEA,InterPro
P08183,GO:0055085,P,TAS,Reactome
P08183,GO:0070633,P,IMP,ARUK-UCL
P08183,GO:0070633,P,IDA,ARUK-UCL
P08183,GO:0072089,P,IMP,DFLAT
P08183,GO:0099040,P,IDA,BHF-UCL
P08183,GO:0140115,P,IMP,ARUK-UCL
P08183,GO:0140115,P,IDA,ARUK-UCL
P08183,GO:0150104,P,NAS,ARUK-UCL
