reaction,case_count
Acne,1
Acne Cystic,1
Acute Kidney Injury,1
Acute Pulmonary Oedema,1
Adverse Reaction,1
Agitation,1
Agranulocytosis,1
Amenorrhoea,1
Amylase Decreased,1
Anal Rash,1
Anaphylactic Shock,1
Angina Pectoris,1
Aphasia,1
Aphthous Ulcer,1
Appendicitis,1
Appetite Disorder,1
Arteriosclerosis Coronary Artery,1
Arthritis Bacterial,1
Arthropod Bite,1
Arthroscopy,1
Aspergillus Infection,1
Aspiration,1
Aspiration Pleural Cavity,1
Ast/Alt Ratio Abnormal,1
Atrial Fibrillation,1
Azotaemia,1
Bacterial Disease Carrier,1
Benign Prostatic Hyperplasia,1
Biopsy,1
Blister,1
Blood Albumin Abnormal,1
Blood Alkaline Phosphatase Decreased,1
Blood Bilirubin Increased,1
Blood Calcitonin Decreased,1
Blood Cholesterol Abnormal,1
Blood Creatine Phosphokinase,1
Blood Creatinine Abnormal,1
Blood Disorder,1
Blood Magnesium Decreased,1
Blood Oestrogen Decreased,1
Blood Phosphorus Abnormal,1
Blood Phosphorus Increased,1
Blood Potassium Abnormal,1
Blood Pressure Fluctuation,1
Blood Pressure Immeasurable,1
Blood Pressure Normal,1
Blood Triglycerides Increased,1
Blood Urine Present,1
Bone Disorder,1
Bone Lesion,1
Brain Neoplasm Malignant,1
Brain Operation,1
Bronchiolitis,1
Calcinosis,1
Cancer Pain,1
Capillary Fragility,1
Cardiac Arrest,1
Cardiac Failure,1
Cardiomyopathy,1
Cataract,1
Cerebral Disorder,1
Cerebrovascular Accident,1
Chest X-Ray Abnormal,1
Cholecystitis,1
Cholecystitis Acute,1
Cholelithiasis,1
Choroid Melanoma,1
Chronic Gastritis,1
Chronic Hepatitis,1
Chylothorax,1
Circulatory Collapse,1
Coagulopathy,1
Cognitive Disorder,1
Coma,1
Cushingoid,1
Cytokeratin 19 Increased,1
Deep Vein Thrombosis,1
Defaecation Disorder,1
Deformity Of Orbit,1
Dental Discomfort,1
Dental Operation,1
Depressed Level Of Consciousness,1
Dermatophytosis Of Nail,1
Device Occlusion,1
Diabetes Mellitus,1
Drug-Induced Liver Injury,1
Dry Eye,1
Dysgraphia,1
Ear Congestion,1
Ear Infection,1
Ear Pain,1
Early Satiety,1
Effusion,1
Electrocardiogram St Segment Abnormal,1
Emotional Disorder,1
Endodontic Procedure,1
Endoscopy,1
Endotracheal Intubation,1
Enteritis,1
Erectile Dysfunction,1
Erythema,1
Erythema Multiforme,1
Erythropenia,1
Escherichia Infection,1
Escherichia Sepsis,1
Exercise Lack Of,1
Exercise Tolerance Decreased,1
Extrapulmonary Tuberculosis,1
Eyelid Oedema,1
Facial Pain,1
Faeces Hard,1
Feeding Disorder,1
Feeling Cold,1
Fixed Eruption,1
Flank Pain,1
Flushing,1
Food Allergy,1
Foot Fracture,1
Fracture,1
Frequent Bowel Movements,1
Full Blood Count Decreased,1
Fungal Infection,1
Fungal Skin Infection,1
Gait Inability,1
Gallbladder Disorder,1
Gallbladder Enlargement,1
Gallbladder Rupture,1
Gastric Haemorrhage,1
Gastric Lavage,1
Gastric Ulcer Haemorrhage,1
Gastroenteritis,1
Gastrointestinal Motility Disorder,1
Gastrointestinal Toxicity,1
Gene Mutation Identification Test Positive,1
General Symptom,1
Gingival Bleeding,1
Gingival Pain,1
Granulocyte Count Increased,1
Haematemesis,1
Haematochezia,1
Haematocrit Decreased,1
Haematocrit Increased,1
Haematotoxicity,1
Haemoglobin Abnormal,1
Haemoglobin Increased,1
Haemorrhage Intracranial,1
Haemorrhage Subcutaneous,1
Hair Colour Changes,1
Hair Disorder,1
Hair Growth Abnormal,1
Hair Texture Abnormal,1
Heart Rate Abnormal,1
Hemiparesis,1
Hepatic Cirrhosis,1
Hepatic Lesion,1
Hepatic Pain,1
Hepatitis,1
Hepatitis B,1
Hepatorenal Failure,1
Herpes Virus Infection,1
Herpes Zoster Reactivation,1
High Frequency Ablation,1
Hip Fracture,1
Hormone Replacement Therapy,1
Hunger,1
Hyperaesthesia Teeth,1
Hyperbilirubinaemia,1
Hypercalcaemia,1
Hypersensitivity,1
Hyperthermia,1
Hypertrophic Cardiomyopathy,1
Hypoacusis,1
Hypokalaemia,1
Hypomania,1
Hypoproteinaemia,1
Immobile,1
Impaired Gastric Emptying,1
Inappropriate Schedule Of Product Administration,1
Incorrect Dose Administered,1
Increased Upper Airway Secretion,1
Inflammation,1
Infrequent Bowel Movements,1
Infusion,1
Injury,1
Intervertebral Discitis,1
Intestinal Obstruction,1
Intra-Abdominal Haemorrhage,1
Irritability,1
Joint Dislocation,1
Joint Injury,1
Joint Swelling,1
Knee Operation,1
Large Intestine Infection,1
Leg Amputation,1
Ligament Rupture,1
Ligament Sprain,1
Limb Amputation,1
Lip Scab,1
Listless,1
Liver Abscess,1
Liver Transplant,1
Localised Infection,1
Localised Oedema,1
Lung Infiltration,1
Lung Neoplasm Malignant,1
Lymph Node Tuberculosis,1
Lymphadenopathy,1
Lymphocyte Count Decreased,1
Lymphoedema,1
Mallory-Weiss Syndrome,1
Mass,1
Mechanical Ileus,1
Medical Device Removal,1
Medical Procedure,1
Medication Error,1
Meniscus Injury,1
Mental Disorder,1
Mental Status Changes,1
Metastases To Abdominal Cavity,1
Metastases To Meninges,1
Metastases To Thorax,1
Micturition Disorder,1
Micturition Urgency,1
Middle Insomnia,1
Monocyte Count Decreased,1
Monoparesis,1
Moraxella Test Positive,1
Motor Dysfunction,1
Mouth Haemorrhage,1
Mucosal Toxicity,1
Muscle Disorder,1
Muscle Swelling,1
Musculoskeletal Discomfort,1
Musculoskeletal Pain,1
Musculoskeletal Stiffness,1
Mutism,1
Myositis,1
Nail Bed Inflammation,1
Nail Discolouration,1
Nasal Dryness,1
Nasal Pruritus,1
Neck Pain,1
Nephrolithiasis,1
Nephrostomy,1
Non-Small Cell Lung Cancer,1
Ocular Discomfort,1
Oedema Due To Hepatic Disease,1
Oesophagitis,1
Oligomenorrhoea,1
Onychomadesis,1
Ophthalmic Vascular Thrombosis,1
Opportunistic Infection,1
Oral Candidiasis,1
Oral Discomfort,1
Oral Fungal Infection,1
Oral Mucosal Blistering,1
Organ Failure,1
Organising Pneumonia,1
Oropharyngeal Discomfort,1
Overdose,1
Oxygen Therapy,1
Palpitations,1
Paracentesis,1
Paraesthesia Oral,1
Paternal Exposure During Pregnancy,1
Peripheral Sensory Neuropathy,1
Peritoneal Tuberculosis,1
Pernicious Anaemia,1
Pharyngeal Disorder,1
Pica,1
Pleural Thickening,1
Pleurodesis,1
Pneumocystis Jirovecii Infection,1
Pneumocystis Test Positive,1
Pollakiuria,1
Post Procedural Infection,1
Potentiating Drug Interaction,1
Procedural Pain,1
Product Dose Omission In Error,1
Product Monitoring Error,1
Product Physical Issue,1
Product Prescribing Error,1
Product Storage Error,1
Product Use In Unapproved Indication,1
Prostatic Obstruction,1
Protein Urine Present,1
Pseudomonas Infection,1
Psychomotor Hyperactivity,1
Pulmonary Artery Aneurysm,1
Pulmonary Fibrosis,1
Pulmonary Mass,1
Pulmonary Pain,1
Pustule,1
Pyelonephritis,1
Radiation Injury,1
Radiation Pneumonitis,1
Radiotherapy,1
Renal Failure,1
Renal Injury,1
Respiratory Distress,1
Respiratory Symptom,1
Respiratory Tract Congestion,1
Respiratory Tract Infection,1
Respiratory Tract Oedema,1
Restlessness,1
Rhinalgia,1
Salmonellosis,1
Seasonal Allergy,1
Seizure,1
Sensation Of Foreign Body,1
Sensory Loss,1
Shoulder Fracture,1
Sinus Bradycardia,1
Sinus Disorder,1
Sinus Tachycardia,1
Skin Disorder,1
Skin Exfoliation,1
Skin Hyperpigmentation,1
Sleep Deficit,1
Sleep Disorder,1
Small Cell Lung Cancer,1
Sputum Discoloured,1
Squamous Cell Carcinoma Of Lung,1
Staphylococcal Infection,1
Stress,1
Subarachnoid Haemorrhage,1
Subcapsular Hepatic Haematoma,1
Temperature Intolerance,1
Tendon Injury,1
Tenoplasty,1
Therapeutic Product Effect Decreased,1
Therapeutic Response Unexpected,1
Therapy Cessation,1
Therapy Non-Responder,1
Thoracic Vertebral Fracture,1
Throat Cancer,1
Throat Irritation,1
Thyroglobulin Increased,1
Thyroid Hormones Decreased,1
Tinnitus,1
Tongue Blistering,1
Tumour Excision,1
Tumour Haemorrhage,1
Tumour Marker Increased,1
Ulcer,1
Ulcerative Keratitis,1
Upper Respiratory Tract Infection,1
Urinary Retention,1
Urinary Tract Obstruction,1
Urine Flow Decreased,1
Urosepsis,1
Uveal Melanoma,1
Vaginal Haemorrhage,1
Vaginal Odour,1
Vaginal Ulceration,1
Visual Acuity Reduced,1
Visual Impairment,1
Vitamin D Decreased,1
Wheezing,1
Wrist Fracture,1
Wrong Technique In Product Usage Process,1
