reaction,count
Sleep Disorder,1
Pernicious Anaemia,1
Impaired Gastric Emptying,1
Skin Exfoliation,1
Gait Inability,1
Mental Disorder,1
Electrocardiogram St Segment Abnormal,1
Enteritis,1
Chest X-Ray Abnormal,1
Frequent Bowel Movements,1
High Frequency Ablation,1
Oxygen Therapy,1
Palpitations,1
Visual Impairment,1
Gene Mutation Identification Test Positive,1
Anaphylactic Shock,1
Sensory Loss,1
Wrist Fracture,1
Cushingoid,1
Aspiration Pleural Cavity,1
Blood Magnesium Decreased,1
Medical Procedure,1
Hypomania,1
Hepatitis,1
Hepatitis B,1
Radiotherapy,1
Micturition Disorder,1
Chronic Hepatitis,1
Drug-Induced Liver Injury,1
Liver Abscess,1
Blister,1
Tumour Marker Increased,1
Hemiparesis,1
Subarachnoid Haemorrhage,1
Injury,1
Diabetes Mellitus,1
Herpes Zoster Reactivation,1
Erythema Multiforme,1
Respiratory Tract Infection,1
Choroid Melanoma,1
Uveal Melanoma,1
Ophthalmic Vascular Thrombosis,1
Pulmonary Mass,1
Circulatory Collapse,1
Squamous Cell Carcinoma Of Lung,1
Potentiating Drug Interaction,1
Post Procedural Infection,1
Vitamin D Decreased,1
Tongue Blistering,1
Aphthous Ulcer,1
Respiratory Tract Congestion,1
Product Physical Issue,1
Sinus Disorder,1
Blood Potassium Abnormal,1
Blood Phosphorus Abnormal,1
Hyperthermia,1
Pyelonephritis,1
Lung Neoplasm Malignant,1
Sensation Of Foreign Body,1
Cytokeratin 19 Increased,1
Cholecystitis,1
Gallbladder Enlargement,1
Bacterial Disease Carrier,1
Endotracheal Intubation,1
Pneumocystis Test Positive,1
Defaecation Disorder,1
Capillary Fragility,1
Pulmonary Artery Aneurysm,1
Arthroscopy,1
Nephrolithiasis,1
Ligament Rupture,1
Blood Pressure Fluctuation,1
Mechanical Ileus,1
Device Occlusion,1
Localised Oedema,1
Gastroenteritis,1
Angina Pectoris,1
Urinary Retention,1
Cognitive Disorder,1
Haematotoxicity,1
Medication Error,1
Non-Small Cell Lung Cancer,1
Shoulder Fracture,1
Lymph Node Tuberculosis,1
Eyelid Oedema,1
Motor Dysfunction,1
Haemorrhage Subcutaneous,1
Visual Acuity Reduced,1
Organising Pneumonia,1
Subcapsular Hepatic Haematoma,1
Intra-Abdominal Haemorrhage,1
Extrapulmonary Tuberculosis,1
Flank Pain,1
Hyperbilirubinaemia,1
Sinus Bradycardia,1
Therapy Cessation,1
Gingival Pain,1
Chronic Gastritis,1
Peripheral Sensory Neuropathy,1
Food Allergy,1
Acute Kidney Injury,1
Escherichia Sepsis,1
Blood Bilirubin Increased,1
Mental Status Changes,1
Gastric Ulcer Haemorrhage,1
Opportunistic Infection,1
Moraxella Test Positive,1
Effusion,1
Dermatophytosis Of Nail,1
Hepatorenal Failure,1
Oligomenorrhoea,1
Respiratory Distress,1
Myositis,1
Urosepsis,1
Acute Pulmonary Oedema,1
Intestinal Obstruction,1
